"trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","ID","age","dob","marital","natlang","olang","gender","ethnicity","mental_check","educ_l","educ_c","mental","mentdrug","mentpos","sesparent","sesstudent","sesladder","sescurrency","educ_hs","educ_ce","sspc_01","sspc_02","pas_01","pas_02","pas_03","pas_04","pas_05","pas_06","pas_07","pas_08","pas_09","pas_10","pas_11","pas_12","pas_13","pas_14","contact_01","contact_02","contact_03","contact_04","contact_05","contact_06","contact_07","contact_08","contact_09","idnd_01","idnd_02","idnd_03","idnd_04","idnd_05","idnd_06","idnd_07","idnd_08","catch_01","adig_01","adig_02","adig_03","plcs_01","plcs_02","plcs_03","plcs_04","plcs_05","plcs_06","plcs_07","plcs_08","plcs_09","plcs_10","plcs_11","plcs_12","catch_02","wwwp_01","wwwp_02","wwwp_03","wwwp_04","wwwp_05","wwwp_06","wwwp_07","wwwp_08","wwwp_09","lsns_fam_1","lsns_fam_2","lsns_fam_3","lsns_fri_1","lsns_fri_2","lsns_fri_3","debrief","rt","url","success","view_history","responses","question_order"
"pavlovia","0","4","0.0-0.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","","","","","",""
"external-html","1","2760","0.0-1.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","2738.1449999957113","sub/html/consent.html","","","",""
"fullscreen","2","5056","0.0-2.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","","","true","","",""
"instructions","3","6978","0.0-3.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","1921.0499999899184","","","[{""page_index"":0,""viewing_time"":1231.2849999871105},{""page_index"":1,""viewing_time"":688.8500000059139}]","",""
"survey-text","4","30088","0.0-4.0-0.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","23100.06000001158","","","","{""ID"":""debug_nathalie_lsns"",""age"":""24"",""dob"":""11/08/1996"",""marital"":""Single"",""natlang"":""English"",""olang"":""French""}",""
"survey-multi-choice","5","40757","0.0-4.0-1.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","10664.29000000062","","","","{""gender"":""Female    "",""ethnicity"":""White or Caucasian     "",""mental_check"":""No   "",""educ_l"":""Undergraduate degree     "",""educ_c"":""Yes, Graduate studies     ""}","[0,1,2,3,4]"
"survey-text","6","41808","0.0-4.0-2.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","1043.8949999952456","","","","{""mental"":"""",""mentdrug"":"""",""mentpos"":""""}",""
"survey-likert","7","47307","0.0-4.0-3.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","5494.539999999688","","","","{""sesparent"":4,""sesstudent"":4,""sesladder"":4,""sescurrency"":2}","[0,1,2,3]"
"survey-likert","8","50519","0.0-4.0-4.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","3207.670000003418","","","","{""educ_hs"":6,""educ_ce"":6}","[0,1]"
"survey-likert","9","53838","0.0-5.0-0.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","3315.260000003036","","","","{""sspc_01"":2,""sspc_02"":2}","[0,1]"
"survey-likert","10","71091","0.0-5.0-1.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","17247.529999993276","","","","{""pas_01"":2,""ngs_pas"":2,""pas_03"":2,""pas_04"":2,""pas_05"":2,""pas_06"":2,""pas_07"":2,""pas_08"":2,""pas_09"":2,""pas_10"":2,""pas_11"":2,""pas_12"":2,""pas_13"":2,""pas_14"":2}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]"
"survey-likert","11","82708","0.0-5.0-2.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","11609.584999998333","","","","{""contact_01"":3,""contact_02"":3,""contact_03"":3,""contact_04"":3,""contact_05"":3,""contact_06"":3,""contact_07"":5,""contact_08"":3,""contact_09"":3}","[0,1,2,3,4,5,6,7,8]"
"survey-likert","12","95084","0.0-5.0-3.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","12369.630000001052","","","","{""idnd_01"":3,""idnd_02"":3,""idnd_03"":3,""catch_01"":3,""idnd_04"":3,""idnd_05"":3,""idnd_06"":3,""idnd_07"":3,""idnd_08"":3}","[0,1,2,3,4,5,6,7,8]"
"survey-likert","13","99258","0.0-5.0-4.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","4170.299999997951","","","","{""adig_01"":3,""adig_02"":3,""adig_03"":3}","[0,1,2]"
"survey-likert","14","114845","0.0-5.0-5.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","15580.650000003516","","","","{""plcs_01"":3,""plcs_02"":3,""plcs_03"":3,""plcs_04"":3,""plcs_05"":3,""plcs_06"":3,""catch_02"":3,""plcs_07"":3,""plcs_08"":3,""plcs_09"":3,""plcs_10"":3,""plcs_11"":3,""plcs_12"":3}","[0,1,2,3,4,5,6,7,8,9,10,11,12]"
"survey-likert","15","124874","0.0-5.0-6.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","10024.28999998665","","","","{""wwwp_01"":3,""wwwp_02"":3,""wwwp_03"":3,""wwwp_04"":3,""wwwp_05"":3,""wwwp_06"":3,""wwwp_07"":3,""wwwp_08"":3,""wwwp_09"":3}","[0,1,2,3,4,5,6,7,8]"
"instructions","16","126669","0.0-5.0-7.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","1791.4250000030734","","","[{""page_index"":0,""viewing_time"":1790.9550000040326}]","",""
"survey-likert","17","132076","0.0-5.0-8.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","5404.679999992368","","","","{""lsns_fam_1"":3,""lsns_fam_2"":3,""lsns_fam_3"":3}","[0,1,2]"
"survey-likert","18","135807","0.0-5.0-9.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","3726.490000000922","","","","{""lsns_fri_1"":3,""lsns_fri_2"":3,""lsns_fri_3"":3}","[0,1,2]"
"external-html","19","145213","0.0-6.0","qp48ut844mwl8v7","1","debug_nathalie_lsns","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","No   ","Undergraduate degree     ","Yes, Graduate studies     ","","","","4","4","4","2","6","6","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","agree","9280.469999997877","sub/html/debriefing.html","","","",""
