"trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","ID","age","dob","marital","natlang","olang","gender","ethnicity","mental_check","educ_l","educ_c","mental","mentdrug","mentpos","sesparent","sesstudent","sesladder","sescurrency","educ_hs","educ_ce","sspc_01","sspc_02","pas_01","pas_02","pas_03","pas_04","pas_05","pas_06","pas_07","pas_08","pas_09","pas_10","pas_11","pas_12","pas_13","pas_14","contact_01","contact_02","contact_03","contact_04","contact_05","contact_06","contact_07","contact_08","contact_09","idnd_01","idnd_02","idnd_03","idnd_04","idnd_05","idnd_06","idnd_07","idnd_08","catch_01","adig_01","adig_02","adig_03","plcs_01","plcs_02","plcs_03","plcs_04","plcs_05","plcs_06","plcs_07","plcs_08","plcs_09","plcs_10","plcs_11","plcs_12","catch_02","wwwp_01","wwwp_02","wwwp_03","wwwp_04","wwwp_05","wwwp_06","wwwp_07","wwwp_08","wwwp_09","debrief","rt","url","success","view_history","responses","question_order"
"pavlovia","0","4","0.0-0.0","xa84zhrsxkyfx5u","0","nathalie debug","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","Yes     ","Undergraduate degree     ","Yes, Graduate studies     ","Schizophrenia","Lithium","Lithium Ion Battery, 2x daily AAA","9","4","7","0","0","1","1","3","3","","3","1","3","2","0","4","4","4","0","2","0","2","6","6","0","5","5","1","7","2","4","6","6","6","5","5","2","5","5","5","4","4","4","4","3","4","2","1","2","3","3","2","2","4","1","1","6","6","6","6","6","6","6","6","6","agree","","","","","",""
"external-html","1","2805","0.0-1.0","xa84zhrsxkyfx5u","0","nathalie debug","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","Yes     ","Undergraduate degree     ","Yes, Graduate studies     ","Schizophrenia","Lithium","Lithium Ion Battery, 2x daily AAA","9","4","7","0","0","1","1","3","3","","3","1","3","2","0","4","4","4","0","2","0","2","6","6","0","5","5","1","7","2","4","6","6","6","5","5","2","5","5","5","4","4","4","4","3","4","2","1","2","3","3","2","2","4","1","1","6","6","6","6","6","6","6","6","6","agree","2792.4050000001444","sub/html/consent.html","","","",""
"fullscreen","2","5101","0.0-2.0","xa84zhrsxkyfx5u","0","nathalie debug","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","Yes     ","Undergraduate degree     ","Yes, Graduate studies     ","Schizophrenia","Lithium","Lithium Ion Battery, 2x daily AAA","9","4","7","0","0","1","1","3","3","","3","1","3","2","0","4","4","4","0","2","0","2","6","6","0","5","5","1","7","2","4","6","6","6","5","5","2","5","5","5","4","4","4","4","3","4","2","1","2","3","3","2","2","4","1","1","6","6","6","6","6","6","6","6","6","agree","","","true","","",""
"instructions","3","8081","0.0-3.0","xa84zhrsxkyfx5u","0","nathalie debug","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","Yes     ","Undergraduate degree     ","Yes, Graduate studies     ","Schizophrenia","Lithium","Lithium Ion Battery, 2x daily AAA","9","4","7","0","0","1","1","3","3","","3","1","3","2","0","4","4","4","0","2","0","2","6","6","0","5","5","1","7","2","4","6","6","6","5","5","2","5","5","5","4","4","4","4","3","4","2","1","2","3","3","2","2","4","1","1","6","6","6","6","6","6","6","6","6","agree","2978.7150000047404","","","[{""page_index"":0,""viewing_time"":1457.07499999844},{""page_index"":1,""viewing_time"":1521.1100000014994}]","",""
"survey-text","4","28496","0.0-4.0-0.0","xa84zhrsxkyfx5u","0","nathalie debug","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","Yes     ","Undergraduate degree     ","Yes, Graduate studies     ","Schizophrenia","Lithium","Lithium Ion Battery, 2x daily AAA","9","4","7","0","0","1","1","3","3","","3","1","3","2","0","4","4","4","0","2","0","2","6","6","0","5","5","1","7","2","4","6","6","6","5","5","2","5","5","5","4","4","4","4","3","4","2","1","2","3","3","2","2","4","1","1","6","6","6","6","6","6","6","6","6","agree","20405.480000001262","","","","{""ID"":""nathalie debug"",""age"":""24"",""dob"":""11/08/1996"",""marital"":""Single"",""natlang"":""English"",""olang"":""French""}",""
"survey-multi-choice","5","40598","0.0-4.0-1.0","xa84zhrsxkyfx5u","0","nathalie debug","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","Yes     ","Undergraduate degree     ","Yes, Graduate studies     ","Schizophrenia","Lithium","Lithium Ion Battery, 2x daily AAA","9","4","7","0","0","1","1","3","3","","3","1","3","2","0","4","4","4","0","2","0","2","6","6","0","5","5","1","7","2","4","6","6","6","5","5","2","5","5","5","4","4","4","4","3","4","2","1","2","3","3","2","2","4","1","1","6","6","6","6","6","6","6","6","6","agree","12097.439999997732","","","","{""gender"":""Female    "",""ethnicity"":""White or Caucasian     "",""mental_check"":""Yes     "",""educ_l"":""Undergraduate degree     "",""educ_c"":""Yes, Graduate studies     ""}","[0,1,2,3,4]"
"survey-text","6","78571","0.0-4.0-2.0","xa84zhrsxkyfx5u","0","nathalie debug","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","Yes     ","Undergraduate degree     ","Yes, Graduate studies     ","Schizophrenia","Lithium","Lithium Ion Battery, 2x daily AAA","9","4","7","0","0","1","1","3","3","","3","1","3","2","0","4","4","4","0","2","0","2","6","6","0","5","5","1","7","2","4","6","6","6","5","5","2","5","5","5","4","4","4","4","3","4","2","1","2","3","3","2","2","4","1","1","6","6","6","6","6","6","6","6","6","agree","37966.499999994994","","","","{""mental"":""Schizophrenia"",""mentdrug"":""Lithium"",""mentpos"":""Lithium Ion Battery, 2x daily AAA""}",""
"survey-likert","7","91194","0.0-4.0-3.0","xa84zhrsxkyfx5u","0","nathalie debug","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","Yes     ","Undergraduate degree     ","Yes, Graduate studies     ","Schizophrenia","Lithium","Lithium Ion Battery, 2x daily AAA","9","4","7","0","0","1","1","3","3","","3","1","3","2","0","4","4","4","0","2","0","2","6","6","0","5","5","1","7","2","4","6","6","6","5","5","2","5","5","5","4","4","4","4","3","4","2","1","2","3","3","2","2","4","1","1","6","6","6","6","6","6","6","6","6","agree","12618.430000002263","","","","{""sesparent"":9,""sesstudent"":4,""sesladder"":7,""sescurrency"":0}","[0,1,2,3]"
"survey-likert","8","97781","0.0-4.0-4.0","xa84zhrsxkyfx5u","0","nathalie debug","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","Yes     ","Undergraduate degree     ","Yes, Graduate studies     ","Schizophrenia","Lithium","Lithium Ion Battery, 2x daily AAA","9","4","7","0","0","1","1","3","3","","3","1","3","2","0","4","4","4","0","2","0","2","6","6","0","5","5","1","7","2","4","6","6","6","5","5","2","5","5","5","4","4","4","4","3","4","2","1","2","3","3","2","2","4","1","1","6","6","6","6","6","6","6","6","6","agree","6581.934999994701","","","","{""educ_hs"":0,""educ_ce"":1}","[0,1]"
"survey-likert","9","108418","0.0-5.0-0.0","xa84zhrsxkyfx5u","0","nathalie debug","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","Yes     ","Undergraduate degree     ","Yes, Graduate studies     ","Schizophrenia","Lithium","Lithium Ion Battery, 2x daily AAA","9","4","7","0","0","1","1","3","3","","3","1","3","2","0","4","4","4","0","2","0","2","6","6","0","5","5","1","7","2","4","6","6","6","5","5","2","5","5","5","4","4","4","4","3","4","2","1","2","3","3","2","2","4","1","1","6","6","6","6","6","6","6","6","6","agree","10633.3350000059","","","","{""sspc_01"":1,""sspc_02"":3}","[0,1]"
"survey-likert","10","170844","0.0-5.0-1.0","xa84zhrsxkyfx5u","0","nathalie debug","24","11/08/1996","Single","English","French","Female    ","White or Caucasian     ","Yes     ","Undergraduate degree     ","Yes, Graduate studies     ","Schizophrenia","Lithium","Lithium Ion Battery, 2x daily AAA","9","4","7","0","0","1","1","3","3","","3","1","3","2","0","4","4","4","0","2","0","2","6","6","0","5","5","1","7","2","4","6","6","6","5","5","2","5","5","5","4","4","4","4","3","4","2","1","2","3","3","2","2","4","1","1","6","6","6","6","6","6","6","6","6","agree","62420.724999989034","","","","{""pas_01"":3,""ngs_pas"":2,""pas_03"":3,""pas_04"":1,""pas_05"":3,""pas_06"":2,""pas_07"":0,""pas_08"":4,""pas_09"":4,""pas_10"":4,""pas_11"":0,""pas_12"":2,""pas_13"":0,""pas_14"":2}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]"
